generation,params,T,target_distance,dead,convexity
2,"[7.749259571162842, 3.095758686141729, 9.076094185444186, 4.6097421969978045, 10.0, 3.0, 3.2881226970093635, 0.4060077701400051, 0.999999, 1e-06, 7.293285051159037, 9.151843111581883, 3.0, 10.0, 3.6090416043412934, 10.0, 1.7056799312788362]","[622.0, 3000.0, 3000.0]","[44.70731826961107, 211.88037855928297, 420.63269630995393]","[0.0, 1.0, 1.0]","[0.0, 0.07793840349926463, 0.036006315557792754]"
2,"[1.8686238517356135, 5.7019720454153555, 2.796932717831639, 0.0, 10.0, 3.4989609054719235, 1.6928462939182758, 3.3820597206190612, 1e-06, 1e-06, 9.634767349013362, 3.255056118392013, 3.18582817918335, 8.116821201552442, 1.0766544370503601, 2.0, 1.0]","[734.0, 3000.0, 3000.0]","[43.285251468650685, 178.83901978854354, 399.6457026250736]","[0.0, 1.0, 1.0]","[0.0, 0.26925413060852904, 0.10602875254216199]"
2,"[10.0, 2.7683349764136764, 0.5889029739912222, 0.0, 10.0, 6.473903565549673, 0.5129875176444498, 0.0, 1e-06, 1e-06, 4.355944910543844, 5.043224636941246, 4.220515719285865, 2.0, 1.0, 2.0, 1.0]","[1386.0, 3000.0, 3000.0]","[40.78805038217212, 212.02015600796838, 441.4616805720419]","[0.0, 1.0, 1.0]","[0.0, 0.1681633034981418, 0.023435801867909382]"
2,"[8.351361733534517, 10.0, 0.965876387647012, 0.0, 9.955276495135097, 7.076657675153789, 0.0, 8.845063927297778, 0.26929744289493124, 1e-06, 4.9786311949379, 4.884942872214119, 5.491552224888066, 2.0, 7.979505852423224, 2.0, 7.376883546844274]","[1518.0, 3000.0, 3000.0]","[40.781281227042435, 232.95968954194993, 441.54749116691534]","[0.0, 1.0, 1.0]","[0.0, 0.014728513818830426, 0.022463717621083467]"
2,"[5.475044414541029, 4.553419866396108, 0.0, 5.423463174010285, 7.649324657774582, 5.76954605433985, 2.5142699109834843, 7.439553238412975, 1e-06, 1e-06, 5.663419930323958, 1e-06, 8.659244971614408, 8.23447235468093, 1.0, 2.0, 1.0]","[1602.0, 3000.0, 3000.0]","[41.086714565509645, 134.18273975415138, 363.11548703360916]","[0.0, 1.0, 1.0]","[0.0, 0.7982419539119913, 0.34976711025061985]"
2,"[3.3599778877413122, 0.0, 3.6158831294153124, 7.946495093895176, 6.481030156462206, 5.369241026457572, 4.269091614011047, 10.0, 1e-06, 1e-06, 3.447220534514683, 5.421415291799308, 9.211510173955404, 8.091843387125365, 3.7923378346391328, 6.571842356217584, 3.7923378346391328]","[1751.0, 3000.0, 3000.0]","[41.272657810807495, 224.42700097614656, 429.8400857304612]","[0.0, 1.0, 1.0]","[0.0, 0.14599081173182055, 0.11845748380993613]"
2,"[10.0, 5.067453193662216, 9.588902973991223, 3.029981013273942, 4.683579564638851, 6.1435705478854645, 4.661059879582755, 0.0, 0.20402547865357415, 1e-06, 8.760142292652699, 10.0, 10.0, 2.0, 1.0, 2.0, 1.0]","[2698.0, 3000.0, 3000.0]","[42.1052384613469, 264.62091057274307, 456.7633007904261]","[0.0, 1.0, 1.0]","[0.0, 0.004076969679384238, 0.0051024644211141975]"
2,"[10.0, 9.220521803674396, 7.741977420795473, 8.31696232103418, 3.0, 7.548804123134305, 4.158240165367506, 10.0, 0.999999, 1e-06, 1e-06, 1e-06, 3.0, 3.3545428583254573, 9.653863151109846, 3.3545428583254573, 5.336278908525066]","[3000.0, 3000.0, 3000.0]","[65.32554717438802, 190.81338388298073, 397.5181306749447]","[0.0, 0.0, 0.8]","[0.0, 1.829677059586027, 1.3762386674002576]"
2,"[10.0, 0.0, 4.3912235655025755, 0.0, 3.0, 3.0, 5.754577596479075, 8.089559722611057, 0.8600423304801179, 1e-06, 10.0, 1e-06, 3.1708895009213496, 7.545968468921251, 1.0, 2.271587069068452, 1.0]","[2078.0, 3000.0, 3000.0]","[42.281909640501496, 141.91144852924887, 366.4072794511551]","[0.0, 1.0, 1.0]","[0.0, 1.0867001406127352, 0.47312315950400663]"
2,"[0.0, 10.0, 10.0, 10.0, 3.0, 9.385358087462834, 4.4777981616638, 10.0, 1e-06, 1e-06, 1e-06, 4.292705545448128, 3.0, 10.0, 10.0, 10.0, 10.0]","[3000.0, 3000.0, 3000.0]","[73.66731319277956, 214.97618779176358, 436.7525873100515]","[0.0, 0.0, 0.8666666666666667]","[0.0, 1.959500281306796, 0.6888633066625174]"
